Datetime,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker BUY base asset volume,Taker BUY quote asset volume,Ignore
1606657260.0,552.48000000,553.09000000,552.21000000,553.09000000,688.50179000,1606657319999,380560.92241900,276,528.94716000,292382.95536830,0
1606657320.0,553.08000000,553.44000000,552.63000000,552.77000000,767.73008000,1606657379999,424556.15061400,256,449.67119000,248677.30137070,0
1606657380.0,552.77000000,552.98000000,551.86000000,551.99000000,551.66502000,1606657439999,304780.07820820,290,304.28153000,168092.94673010,0
1606657440.0,551.99000000,552.24000000,551.79000000,551.85000000,298.41192000,1606657499999,164701.88797040,224,200.84947000,110852.30855130,0
1606657500.0,551.85000000,551.92000000,550.96000000,551.14000000,642.80492000,1606657559999,354388.65043150,325,142.84547000,78756.54836290,0
1606657560.0,551.14000000,551.59000000,551.06000000,551.49000000,715.41274000,1606657619999,394456.46760900,249,366.95710000,202329.43704910,0
1606657620.0,551.49000000,551.60000000,551.23000000,551.42000000,182.47584000,1606657679999,100627.61826780,170,43.92362000,24219.70854400,0
1606657680.0,551.45000000,552.48000000,551.41000000,552.37000000,764.05845000,1606657739999,421787.61061880,258,551.82515000,304651.16201330,0
1606657740.0,552.33000000,552.48000000,552.07000000,552.45000000,460.10566000,1606657799999,254103.41896970,205,302.27201000,166930.69530360,0
1606657800.0,552.43000000,552.46000000,551.87000000,552.21000000,981.79812000,1606657859999,542136.23160800,300,765.59430000,422758.28150290,0
1606657860.0,552.21000000,552.21000000,551.84000000,552.06000000,246.23714000,1606657919999,135931.96624570,167,166.28381000,91788.88038370,0
1606657920.0,552.06000000,552.83000000,552.06000000,552.83000000,471.73710000,1606657979999,260593.17688440,178,94.03343000,51947.08608870,0
1606657980.0,552.83000000,553.09000000,552.82000000,552.96000000,183.84726000,1606658039999,101663.02427410,185,111.76524000,61805.20231090,0
1606658040.0,552.97000000,553.39000000,552.93000000,552.93000000,337.85342000,1606658099999,186886.55583900,227,147.90360000,81811.87871460,0
1606658100.0,552.93000000,552.93000000,552.35000000,552.77000000,296.50065000,1606658159999,163863.44550700,221,159.87790000,88361.91086650,0
1606658160.0,552.84000000,553.30000000,552.81000000,553.12000000,331.49050000,1606658219999,183342.90479080,160,240.00491000,132738.64438460,0
1606658220.0,553.12000000,553.91000000,553.11000000,553.89000000,419.53323000,1606658279999,232253.65483640,267,213.37477000,118114.96791720,0
1606658280.0,553.89000000,553.95000000,553.58000000,553.89000000,552.66239000,1606658339999,306096.65204640,242,295.02182000,163404.21310910,0
1606658340.0,553.89000000,554.69000000,553.87000000,554.67000000,611.10655000,1606658399999,338660.29588670,297,476.14071000,263862.50232770,0
1606658400.0,554.67000000,555.67000000,554.60000000,554.74000000,2103.72279000,1606658459999,1167800.98035070,978,1475.61340000,819103.39967350,0
1606658460.0,554.73000000,555.12000000,554.28000000,554.63000000,996.93893000,1606658519999,552853.76978000,469,467.71004000,259373.58931160,0
1606658520.0,554.44000000,554.64000000,553.68000000,554.14000000,570.12950000,1606658579999,315955.71201440,341,240.46186000,133246.45869760,0
1606658580.0,554.13000000,554.57000000,554.00000000,554.15000000,428.85847000,1606658639999,237706.56758220,299,260.45046000,144360.44107830,0
1606658640.0,554.15000000,555.09000000,554.15000000,554.54000000,891.11434000,1606658699999,494227.53990700,377,570.68238000,316506.21329580,0
1606658700.0,554.51000000,554.75000000,554.13000000,554.60000000,789.73897000,1606658759999,437912.86659210,377,558.69049000,309806.77409470,0
1606658760.0,554.60000000,555.00000000,554.44000000,554.99000000,1156.71317000,1606658819999,641595.75259200,393,786.48463000,436225.86462820,0
1606658820.0,554.99000000,555.40000000,554.64000000,555.40000000,384.54462000,1606658879999,213420.62162160,356,144.28156000,80063.13446930,0
1606658880.0,555.40000000,555.87000000,555.40000000,555.87000000,505.18674000,1606658939999,280679.83201150,360,243.17506000,135123.90855720,0
1606658940.0,555.86000000,556.72000000,555.86000000,556.33000000,1208.53240000,1606658999999,672104.75116630,532,929.17960000,516746.75640600,0
1606659000.0,556.36000000,556.86000000,555.97000000,556.10000000,1472.56797000,1606659059999,819248.52155780,538,613.26841000,341228.75538360,0
1606659060.0,556.08000000,556.10000000,554.85000000,554.93000000,637.71371000,1606659119999,354258.33642440,555,310.67603000,172605.94001410,0
1606659120.0,554.92000000,556.00000000,554.92000000,555.74000000,605.37045000,1606659179999,336265.05799930,365,278.29978000,154548.28463380,0
1606659180.0,555.71000000,555.74000000,555.35000000,555.48000000,745.13923000,1606659239999,413928.18091030,313,512.39274000,284630.06116210,0
1606659240.0,555.47000000,556.06000000,555.10000000,555.73000000,728.16621000,1606659299999,404560.58115330,421,563.21050000,312881.69546700,0
1606659300.0,555.71000000,556.65000000,555.65000000,556.50000000,616.37265000,1606659359999,342931.59963600,338,278.79134000,155104.14228000,0
1606659360.0,556.50000000,556.52000000,555.67000000,556.03000000,418.24085000,1606659419999,232636.06337710,248,126.78073000,70495.73441900,0
1606659420.0,556.03000000,556.07000000,555.12000000,555.12000000,425.77087000,1606659479999,236505.01264180,334,130.25308000,72352.50890100,0
1606659480.0,555.12000000,555.59000000,555.00000000,555.22000000,511.34637000,1606659539999,283961.87957220,257,256.93862000,142688.61053630,0
1606659540.0,555.20000000,555.29000000,554.93000000,555.16000000,395.79432000,1606659599999,219721.89019430,301,290.27999000,161150.36297250,0
1606659600.0,555.16000000,555.16000000,554.00000000,554.35000000,1156.32956000,1606659659999,641116.06344390,466,187.35819000,103838.58298980,0
1606659660.0,554.35000000,555.21000000,554.35000000,554.87000000,604.06784000,1606659719999,335190.42934040,363,411.91586000,228525.37989750,0
