1606154160.0,18349.96000000,18352.62000000,18333.17000000,18342.80000000,47.13882600,1606154219999,864685.07916703,941,23.28395100,427062.06901455,0
1606154220.0,18342.80000000,18345.39000000,18323.06000000,18323.06000000,28.22401000,1606154279999,517544.22321962,871,11.59604700,212662.89239530,0
1606154280.0,18324.97000000,18339.00000000,18324.97000000,18334.18000000,42.64815600,1606154339999,781781.08516631,842,26.57206200,487030.57899286,0
1606154340.0,18334.17000000,18352.93000000,18332.28000000,18352.93000000,23.31041900,1606154399999,427639.13784049,716,8.95652400,164297.66322587,0
1606154400.0,18352.93000000,18354.93000000,18349.78000000,18349.79000000,31.41978800,1606154459999,576584.58781904,656,14.39201900,264102.86364333,0
1606154460.0,18349.79000000,18349.79000000,18310.80000000,18313.44000000,95.93839700,1606154519999,1758523.42188290,1460,18.47229500,338556.22442281,0
1606154520.0,18312.52000000,18335.27000000,18307.91000000,18330.90000000,92.34292600,1606154579999,1691795.89627215,1358,64.52178100,1182146.16143918,0
1606154580.0,18330.90000000,18340.65000000,18316.91000000,18339.61000000,26.51585400,1606154639999,486011.81604146,871,5.89099200,107972.14032869,0
1606154640.0,18339.61000000,18347.19000000,18300.92000000,18302.40000000,40.06960100,1606154699999,734186.54283942,1080,18.06595200,331063.99735329,0
1606154700.0,18302.39000000,18309.39000000,18283.43000000,18298.03000000,65.20532700,1606154759999,1193005.03676056,1492,27.92245400,510803.21436177,0
1606154760.0,18298.03000000,18337.44000000,18295.99000000,18332.81000000,66.84570300,1606154819999,1224758.15449909,918,28.45971400,521327.89337350,0
1606154820.0,18332.82000000,18339.00000000,18320.13000000,18332.32000000,49.43565700,1606154879999,906175.74454578,885,13.88260500,254438.97835111,0
1606154880.0,18332.33000000,18362.84000000,18332.32000000,18362.82000000,36.52756000,1606154939999,670325.43369547,868,16.61159000,304794.86436735,0
1606154940.0,18362.81000000,18362.82000000,18344.76000000,18354.13000000,47.34170400,1606154999999,868837.94873598,856,14.58675200,267686.28327535,0
1606155000.0,18354.13000000,18360.00000000,18347.04000000,18351.85000000,22.35941400,1606155059999,410369.36325436,745,7.29845900,133949.53562195,0
1606155060.0,18351.85000000,18351.86000000,18321.48000000,18323.66000000,54.83087900,1606155119999,1005206.53859468,998,16.76532800,307299.11740442,0
1606155120.0,18323.65000000,18325.56000000,18310.88000000,18313.43000000,37.28232800,1606155179999,682964.24818014,874,13.53211300,247887.16537842,0
1606155180.0,18313.44000000,18366.78000000,18310.35000000,18359.97000000,40.86412200,1606155239999,749296.43390303,1126,21.27852100,390203.68944462,0
1606155240.0,18360.19000000,18362.86000000,18332.61000000,18332.62000000,36.42137600,1606155299999,668268.55471868,1062,16.77434600,307744.84217235,0
1606155300.0,18332.61000000,18341.98000000,18323.96000000,18340.98000000,30.14378100,1606155359999,552560.34502895,764,20.50478700,375875.93038821,0
1606155360.0,18340.98000000,18363.89000000,18340.98000000,18361.37000000,26.26765500,1606155419999,482091.67802610,857,10.44411600,191703.48703026,0
1606155420.0,18361.37000000,18364.24000000,18344.51000000,18345.94000000,24.98709500,1606155479999,458665.75323392,648,14.86881500,272909.10189733,0
1606155480.0,18345.94000000,18354.26000000,18325.98000000,18329.72000000,30.42696200,1606155539999,557947.69456146,764,16.71615700,306522.86645723,0
1606155540.0,18329.72000000,18333.12000000,18315.34000000,18317.00000000,20.78859600,1606155599999,380909.62576416,897,11.41851900,209215.76571799,0
1606155600.0,18316.99000000,18326.00000000,18316.63000000,18323.92000000,19.44316600,1606155659999,356251.08282069,444,8.63560200,158220.02533095,0
1606155660.0,18323.92000000,18323.92000000,18299.98000000,18299.98000000,47.09568100,1606155719999,862435.17276330,897,6.52350800,119456.96013912,0
1606155720.0,18299.98000000,18327.27000000,18292.26000000,18326.50000000,66.15524300,1606155779999,1211363.73403642,1221,22.07998000,404268.18055409,0
1606155780.0,18326.50000000,18329.51000000,18307.15000000,18313.48000000,30.66377800,1606155839999,561782.89932402,786,13.29863100,243607.48933243,0
1606155840.0,18313.48000000,18341.23000000,18310.66000000,18341.22000000,29.91657700,1606155899999,548173.63026359,693,14.38702800,263624.45918319,0
1606155900.0,18341.23000000,18350.00000000,18335.29000000,18336.11000000,23.21864600,1606155959999,425934.82670373,687,8.39972800,154086.16141357,0
1606155960.0,18336.12000000,18344.59000000,18332.66000000,18337.28000000,27.72660400,1606156019999,508521.55826385,608,7.11985500,130564.26600329,0
1606156020.0,18337.28000000,18337.68000000,18324.66000000,18331.22000000,36.21772000,1606156079999,663847.80742021,551,10.23044300,187501.75682967,0
